epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.134,1.20929,3.48372,1.15696,0.21629,0.34464,0.14959,0.10494,1.07382,3.18305,1.31378,0.000332678,0.000332678,0.0670648
2,783.691,1.11506,2.32179,1.13385,0.49112,0.20666,0.24961,0.17578,1.04923,2.55974,1.33709,0.000652825,0.000652825,0.0340516
3,1159.86,1.05195,1.97367,1.12731,0.36989,0.40533,0.34536,0.26287,0.89845,2.01675,1.26104,0.000959771,0.000959771,0.00102526
4,1534.89,1.00265,1.73461,1.1051,0.5862,0.37053,0.42104,0.33221,0.82072,1.62942,1.18576,0.0009406,0.0009406,0.0009406
5,2069.19,0.98516,1.59606,1.09897,0.43714,0.55223,0.50052,0.40982,0.77012,1.5833,1.15305,0.0009208,0.0009208,0.0009208
6,2824.4,0.96331,1.46647,1.086,0.61128,0.46885,0.54855,0.44993,0.75704,1.28061,1.14548,0.000901,0.000901,0.000901
7,3413.54,0.93532,1.35411,1.07396,0.68553,0.49701,0.61971,0.49652,0.79328,1.30933,1.15984,0.0008812,0.0008812,0.0008812
8,3852.84,0.91235,1.274,1.0615,0.68434,0.54739,0.64331,0.53043,0.73029,1.16216,1.10406,0.0008614,0.0008614,0.0008614
9,4240.75,0.8881,1.22681,1.04326,0.77569,0.51871,0.68743,0.55305,0.76201,1.07468,1.12708,0.0008416,0.0008416,0.0008416
10,4615.41,0.89004,1.16517,1.05885,0.6859,0.60118,0.6795,0.55569,0.72381,0.99289,1.0907,0.0008218,0.0008218,0.0008218
11,4987.6,0.86726,1.11898,1.03458,0.72397,0.63444,0.71809,0.59444,0.71632,0.91386,1.08764,0.000802,0.000802,0.000802
12,5356.36,0.84812,1.06249,1.03286,0.72017,0.67585,0.75523,0.62438,0.70792,0.90729,1.08561,0.0007822,0.0007822,0.0007822
13,6032.8,0.84918,1.0365,1.03619,0.74982,0.63506,0.72606,0.60171,0.6657,0.91744,1.06022,0.0007624,0.0007624,0.0007624
14,6804.25,0.82711,1.00196,1.01549,0.72958,0.67028,0.7454,0.61446,0.69543,0.85026,1.07833,0.0007426,0.0007426,0.0007426
15,7384.24,0.8353,0.98386,1.0227,0.64808,0.75304,0.75016,0.62964,0.65588,0.83052,1.0451,0.0007228,0.0007228,0.0007228
16,7768.9,0.81759,0.94786,1.01338,0.78097,0.67567,0.76434,0.65002,0.64236,0.80757,1.04524,0.000703,0.000703,0.000703
17,8149.24,0.81023,0.94315,1.00774,0.74295,0.68303,0.76484,0.6326,0.68535,0.80068,1.06398,0.0006832,0.0006832,0.0006832
18,8521.09,0.79624,0.90441,0.99813,0.80919,0.70226,0.78941,0.66167,0.68384,0.78007,1.0487,0.0006634,0.0006634,0.0006634
19,8889.88,0.80508,0.88681,1.00453,0.78293,0.68202,0.76991,0.64752,0.65587,0.73876,1.0411,0.0006436,0.0006436,0.0006436
